SiteCode,SiteName,OpeningDate
BQ7,Bexley - Belvedere West,24/08/2010
BQ8,Bexley - Belvedere West FDMS,24/08/2010
BT8,Brent - ARK Franklin Primary Academy,30/10/2017
CD9,Camden - Euston Road,29/01/2011
CP2,Castle Point - Hadleigh,14/06/2011
CR7,Croydon - Purley Way A23,19/01/2012
CR8,Croydon - Norbury Manor,01/12/2014
CR9,Croydon - Park Lane,02/11/2015
EI1,Ealing - Western Avenue,19/03/2010
EI2,Ealing - Southall Railway,08/04/2011
EI3,Ealing - Acton Vale ,23/11/2017
EI7,Ealing - Southall FDMS,28/12/2011
EN7,Enfield - Prince of Wales School,09/07/2012
GN4,Greenwich - Fiveways Sidcup Rd A20,24/01/2011
GN5,Greenwich - Trafalgar Road (Hoskins St),12/10/2017
GN6,Greenwich - John Harrison Way,02/07/2018
HF4,Hammersmith and Fulham - Shepherds Bush,31/10/2011
HG4,Haringey  - Priory Park South,25/10/2012
HS8,Hounslow and Ealing - Gunnersbury Avenue,09/02/2012
HS9,Hounslow - Feltham,19/08/2009
IM1,Camden - Holborn (Bee Midtown),06/02/2014
IT2,Tower Hamlets - Mile End Road,29/09/2009
KT3,Kingston Upon Thames - Sopwith Way,10/03/2015
KT4,Kingston Upon Thames - Tolworth Broadway,13/04/2015
KT5,Kingston Upon Thames - Cromwell Road,12/03/2018
KT6,Kingston Upon Thames - Kingston Vale,12/03/2018
LB6,Lambeth - Streatham Green,17/08/2009
LW3,Lewisham - Mercury Way,01/01/2010
LW4,Lewisham - Loampit Vale,10/07/2012
ME1,Merton - Morden Civic Centre,13/01/2010
ME2,Merton - Merton Road,29/06/2011
ME9,Merton - Morden Civic Centre 2,27/01/2017
NB1,Westminster - Strand (Northbank BID),28/04/2015
RB7,Redbridge - Ley Street,15/05/2014
RG5,Reigate and Banstead 1 co-location,23/09/2010
RG6,Reigate and Banstead - Horley South East,20/09/2016
RG7,Reigate and Banstead - A23 Hooley,17/07/2018
RHA,Richmond Upon Thames - Lower Mortlake Rd,12/01/2011
RHE,Richmond Upon Thames - Hanworth Road,15/03/2012
RHF,Richmond Upon Thames - Hanworth Road,15/03/2012
SK5,Southwark - A2 Old Kent Road,24/11/2010
SK6,Southwark - Elephant and Castle,23/01/2013
ST7,Sutton - Therapia Lane,09/02/2010
ST8,Sutton - Beddington Lane ,04/04/2012
TH5,Tower Hamlets - Victoria Park,25/07/2012
TH6,Tower Hamlets - Millwall Park,06/07/2015
TK4,Thurrock - Calcutta Road Tilbury,01/01/2010
WA7,Wandsworth - Putney High Street,09/07/2009
WA8,Wandsworth - Putney High Street Facade,23/04/2010
WA9,Wandsworth - Putney,04/01/2011
WAA,Wandsworth - Battersea,19/06/2012
WAB,Wandsworth - Tooting High Street,11/06/2015
WAC,Wandsworth - Lavender Hill (Clapham Jct),14/04/2016
WM5,Westminster - Covent Garden,10/07/2009
WM6,Westminster - Oxford Street,01/01/2011
WM8,Westminster - Victoria,06/01/2014
WM9,Westminster - Victoria (Victoria BID),08/08/2016
WMA,Westminster - Buckingham Palace Road,18/02/2018
WMB,Westminster - Oxford Street East,05/06/2018
WMC,Westminster - Cavendish Square,31/05/2018
